# This list include aur entries!
accountsservice 23.13.9-1
acpilight 1.2-2
adapta-gtk-theme 3.95.0.11-2
adobe-source-sans-fonts 3.052-1
alacritty 0.13.1-1
arandr 0.1.11-2
arc-gtk-theme 20221218-1
arch-audit 0.1.20-2
audacity 1:3.4.2-3
autorandr 1.14-1
autotiling 1.9.1-1
avidemux-qt 2.8.1-3
awesome-terminal-fonts 1.1.0-4
azote 1.12.5-1
backintime 1.4.3-2
baobab 45.0-1
base 3-2
base-devel 1-1
bash-completion 2.11-3
bash-language-server 5.1.2-1
bat 0.24.0-1
blender 17:4.0.2-14
blueberry 1.4.8-1
blueman 2.3.5-3
bluez-utils 5.72-2
brave-bin 1:1.63.165-1
brightnessctl 0.5.1-2
calibre 7.5.1-2
catfish 4.18.0-1
chromium 122.0.6261.94-1
clamav 1.2.1-1
clamav-unofficial-sigs 7.2.5-1
clipman 1.6.2-1
conky 1.19.7-2
conky-manager 2.4-4
cronie 1.7.1-1
d-spy 1.8.0-1
dark-reader 4.9.77-1
davinci-resolve 18.6.5-1
dconf-editor 45.0.1-1
ddev-bin 1.22.7-1
dmenu 5.2-1
docker 1:25.0.2-1
docker-compose 2.24.6-1
dropbox 191.4.4995-1
dzen2 0.9.5.14.488ab66-2
efibootmgr 18-2
feh 3.10.2-1
ffmpegthumbnailer 2.2.2-5
file-roller 43.1-1
firefox 123.0-1
firefox-adblock-plus 3.17.1-1
foot 1.16.2-2
freeciv 3.0.10-1
gdm 45.0.1-1
gdm-settings 4.3-1
gimp 2.10.36-5
gimp-plugin-gmic 3.3.4-1
git 2.44.0-1
glfw-wayland 3.3.10-1
gmrun 1.4w-1
gnome-boxes 45.0-1
gnome-calculator 45.0.2-1
gnome-disk-utility 45.1-1
gnome-keyring 1:46.1-1
gnome-logs 45beta-1
gnome-mahjongg 3.40.0+r35+g96668c5-1
gnome-subtitles 1.7.2-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gparted 1.6.0-1
gpodder 3.11.4-1
greetd 0.9.0-3
greetd-gtkgreet 0.8-1
grim 1.4.1-1
gsmartcontrol 1.1.4-1
gst-plugin-pipewire 1:1.0.3-1
gtk-theme-elementary 7.3.0-1
gufw 24.04-1
gvfs 1.52.2-2
gvfs-afc 1.52.2-2
gvfs-gphoto2 1.52.2-2
gvfs-mtp 1.52.2-2
gvfs-nfs 1.52.2-2
gvfs-smb 1.52.2-2
hardcode-fixer-git 2.0-1
hblock 3.4.4-1
hddtemp 0.3.beta15.53-3
hdparm 9.65-1
hplip 1:3.23.12-2
htop 3.3.0-1
i3-scratchpad-git 1.1-1
i3-wm 4.23-1
i3blocks 1.5-4
i3lock 2.14.1-1
i3status 2.14-1
